Epoch: 40, Ep: 60, Epr: 1.1248579724782224, loss: 1.4303956255316734 mse_loss: 0.38969193398952484, kl_loss: 0.2782723307609558, sparse_loss:0.7624313589185476
Epoch: 41, Ep: 60, Epr: 1.1248579724782224, loss: 1.4155876897275448 mse_loss: 0.37626131530851126, kl_loss: 0.2798942429944873, sparse_loss:0.7594321258366108
Epoch: 43, Ep: 60, Epr: 1.1248579724782224, loss: 1.9042674414813519 mse_loss: 0.3623449541628361, kl_loss: 0.776990232989192, sparse_loss:0.764932269230485
Epoch: 44, Ep: 60, Epr: 1.1248579724782224, loss: 1.8960229083895683 mse_loss: 0.3581295581534505, kl_loss: 0.773631839081645, sparse_loss:0.7642615102231503
Epoch: 46, Ep: 59, Epr: 1.1061103396035854, loss: 1.3358076810836792 mse_loss: 0.3490066034719348, kl_loss: 0.2293295692652464, sparse_loss:0.7574714943766594
Epoch: 47, Ep: 60, Epr: 1.1248579724782224, loss: 1.3226443566381931 mse_loss: 0.3377613639459014, kl_loss: 0.2317621884867549, sparse_loss:0.753120793029666
Epoch: 49, Ep: 59, Epr: 1.1061103396035854, loss: 1.2453665733337402 mse_loss: 0.33352300338447094, kl_loss: 0.16933822073042393, sparse_loss:0.7425053510814905
Epoch: 50, Ep: 60, Epr: 1.1248579724782224, loss: 1.23926055803895 mse_loss: 0.3294885363429785, kl_loss: 0.17116813454777002, sparse_loss:0.7386038992553949
Epoch: 52, Ep: 61, Epr: 1.1436056053528594, loss: 4.236877974122763 mse_loss: 0.4043473917990923, kl_loss: 3.0845379047095776, sparse_loss:0.747992692515254
Epoch: 53, Ep: 64, Epr: 1.1998485039767706, loss: 4.1345774829387665 mse_loss: 0.4462084239348769, kl_loss: 2.9354984927922487, sparse_loss:0.7528704889118671
Epoch: 55, Ep: 64, Epr: 1.1998485039767706, loss: 2.3071188777685165 mse_loss: 0.38495229557156563, kl_loss: 1.1841949615627527, sparse_loss:0.737971618771553
Epoch: 56, Ep: 63, Epr: 1.1811008711021336, loss: 2.2903232350945473 mse_loss: 0.36418032832443714, kl_loss: 1.1923701353371143, sparse_loss:0.7337727416306734
Epoch: 58, Ep: 63, Epr: 1.1811008711021336, loss: 1.5029698051512241 mse_loss: 0.3291032053530216, kl_loss: 0.4377328474074602, sparse_loss:0.7361337412148714
Epoch: 59, Ep: 64, Epr: 1.1998485039767706, loss: 1.4962048567831516 mse_loss: 0.3217878211289644, kl_loss: 0.44126575998961926, sparse_loss:0.7331512663513422
Epoch: 61, Ep: 64, Epr: 1.1998485039767706, loss: 3.180775538086891 mse_loss: 0.3556551141664386, kl_loss: 2.087251588702202, sparse_loss:0.737868819385767
